# ============================================================================
# Protected Pages Registry
# ============================================================================
# These destination pages are manually authored on the dev branch and are NOT
# overwritten by migrate.sh, even though a mapping exists in EXPLICIT FILE
# MAPPING. The source mapping is kept there for documentation purposes only.
#
# WHY THIS EXISTS:
#   Some pages in the revamp are so structurally different from their hedera/
#   source that auto-migration would destroy the revamp content. These pages
#   must be maintained manually on dev. When the source changes in main, this
#   system warns you so you can review and incorporate relevant changes.
#
# FORMAT:
#   source_git_hash|source_path|destination_path|reason
#
#   source_git_hash  — git hash-object of source at time of last review.
#                      Used to detect upstream changes. Update with --ack.
#   source_path      — path in hedera/ (relative to repo root)
#   destination_path — path in new structure (relative to repo root)
#   reason           — why this page is protected
#
# WORKFLOW:
#   1. migrate.sh checks if source hash changed since last review.
#   2. If changed: WARNING is shown. The source is NOT copied to destination.
#   3. Review the source diff manually and incorporate relevant content.
#   4. Acknowledge: ./revamp/migrate.sh --ack hedera/readme.mdx
#      This updates the hash, silencing the warning until next upstream change.
#
# TO PROTECT A NEW PAGE:
#   1. Keep the mapping in migrate.sh EXPLICIT FILE MAPPING (for documentation).
#   2. Add an entry here: echo "<hash>|<src>|<dest>|<reason>"
#      where <hash> = $(git hash-object <source_path>)
#   3. Rewrite the destination on dev as needed.
# ============================================================================

5966193496764b1af59a57379b99fd810a29ef27|hedera/readme.mdx|learn/index.mdx|Revamped as Learn tab landing page — links updated to 7-tab structure; source is old root README with hedera/ links
7eae7158568176f721cfae1894b74db47aeb3775|hedera/open-source-solutions/hashiodao/multisig-dao.mdx|solutions/governance/hashiodao/multisig-dao.mdx|Edited directly on dev; preserve over hedera/ source
2eea53f0c606040fb9f1d76f7835600cecf31918|hedera/open-source-solutions/hashiodao/nft-dao.mdx|solutions/governance/hashiodao/nft-dao.mdx|Edited directly on dev; preserve over hedera/ source
f25cb9b80ba7c0f86dbba534ab258dcc58d09e99|hedera/open-source-solutions.mdx|solutions/index.mdx|Edited directly on dev; preserve over hedera/ source
f741646ed2bf5c6f91d9c8a552a55b3c60f62816|hedera/open-source-solutions/asset-tokenization-studio-ats/frequently-asked-questions-faqs.mdx|solutions/tokenization/ats/faq.mdx|Edited directly on dev; preserve over hedera/ source
b6534ef550ef21aba2ed939136083f1b3e237b5c|hedera/open-source-solutions/nft-studio.mdx|solutions/tokenization/nft-studio/index.mdx|Edited directly on dev; preserve over hedera/ source
896f6b0d3f6d7745f946752e308e2fb96e514b45|hedera/support-and-community/contributing-guide/style-guide/language-and-grammar.mdx|support/contributing/style-guide/language-grammar.mdx|Edited directly on dev; preserve over hedera/ source
042b72111d33e350ab88c985ae7423f03586d5cf|hedera/faqs/getting-started.mdx|support/faq/getting-started.mdx|Edited directly on dev; preserve over hedera/ source
4e702c88f071d1fad1c10880735387685eb5f2d7|hedera/faqs/network-governance.mdx|support/faq/governance.mdx|Edited directly on dev; preserve over hedera/ source
abc403e8edc126e54e7c27e93695813c67a66a56|hedera/faqs/hbar.mdx|support/faq/hbar.mdx|Edited directly on dev; preserve over hedera/ source
6b2bb5480b8e947b07e331e6ed3a5665157ae6ae|hedera/support-and-community/glossary.mdx|support/glossary.mdx|Edited directly on dev; preserve over hedera/ source
9b88b6f5b46e16b2856781dfa9219bc16cc2b8b9|hedera/support-and-community.mdx|support/index.mdx|Edited directly on dev; preserve over hedera/ source
4f9407079dcd49a8414bff76484ba2d10c730347|hedera/getting-started-evm-developers/hedera-testnet-faucet.mdx|learn/getting-started/testnet-faucet.mdx|Edited directly on dev; preserve over hedera/ source (also feeds evm/quickstart/get-test-hbar.mdx)
